HealthCareFacility,Photos,Latitude,Longitude,MedicalSubdivision,RAPID_CHVA_Vulnerability,RAPID_CHVA_Vulnerability_Numeric,AdaptiveCapacity,DistanceFromShoreline (in meters),SeaLevelRise,CoastalErosion,AirPollution,Flooding,Cyclones,Drought,High Rainfall,Low Rainfall,Landslide,ChangingEcosystem,LackOfArableLand,HighTemperature,WaterShortage,SeawaterIntrusion,StructuralSafety,ConditionOfBuilding,StructuralResilience,Non-structuralSafety,WindowsAndShutters,Roofing,InternalWallsAndPartitions,EvacuationRoutes,Security,InfastructuralRiskFactorsPreventingAccess,WaterSupply,EnergySupply,ExposureToHeat,WasteManagement,MosquitosAndRodents,AdditionalRiskFactors,Country
Nacavanadi Nursing Station,,-17.99,179.33,Lomaiviti,High Vulnerability,3.00,AC2,N/A,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,High,High,High,High,High,High,High,Average,Average,Lack and distance of HCF - costly transportation from other villages to reach the NS,Water tank + rain water tank,Solar energy,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles to Levuka Hospital, burn and bury general waste",High,"Smoking, excessive kava drinking, 90% - water supply is an issue, lack of safe water for drinking and sanitation and hygiene practices. More than 70% are fishermen and farmers",Fiji
Bureta Health Centre,,-17.71,178.76,Lomaiviti,High Vulnerability,3.00,AC2,N/A,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Average,Low,Low,Average,Average,Average,Average,Average,Average,"Lack and distance of HCF - costly transportation, lack of proper roads, potential damage to roads/bridges/buildings","Borehole + rain water tank, water source shared with village","EEL main only, no backup power source","Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles to Levuka Hospital, burn and bury general waste",High,"Teenage pregnancies, 90% water supply is an issue, lack of safe water for drinking and sanitation, 70% employment PAFCO, 30% civil service",Fiji
Batiki Nursing Station,,-17.78,179.15,Lomaiviti,High Vulnerability,3.00,AC2,N/A,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Low,Low,Low,Low,Low,Average,Average,Average,Average,"Lack and distance of HCF, costly transportation",,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","No incinerator onsite, sharps and needles to Levuka Hosptial, burn and bury general waste, septic tank system",High,N/A,Fiji
Nairai Nursing Station,,-17.82,179.44,Lomaiviti,High Vulnerability,3.00,AC2,N/A,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,High,Low,Average,Average,Average,Average,Average,Average,Average,"Lack and distance of HCF, costly transportation, lack of proper roads, potential damage to buildings/roads/bridges",Lacks water - people accessing dirty water. Untreated water access,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","No incinerator onsite, sharps and needles to Levuka Hosptial, burn and bury general waste, septic tank system",High,"General maintenance and repairs for NS, to avoid further damages",Fiji
Nacamaki Nursing Station - Koro Island,,-17.25,179.43,Lomaiviti,Medium to High Vulnerability,2.00,AC3,500,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,High,Low,Average,Average,Average,Average,Average,Average,Average,"Lack and distance of HCF - costly transportation, lack of proper roads, potential damage to roads/bridges/buildings",Water tank BUT lacks water. People accessing dirty water. Untreated water,Solar energy,"Outdoor activities, lack of shade, lack of indoor cooling","Sharps and needles buried onsite, septic tank system, general waste burnt onsite",N/A,"15-19 teenage pregnancies, STIs, excessive Kava drinking and smoking, alcohol consumption, 98% unemployed but dalo and kava farmers, 80% in school, 2 blind amputees, 2 mentally challenged - drug induced, lack of safe water for drinking and cooking and hygiene practices.",Fiji
Nasau Health Centre - Nasau Koro Island,,-17.31,179.44,Lomaiviti,Medium to High Vulnerability,2.00,AC3,1000,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,High,Low,High,High,High,High,Average,Average,High,"Lack and distance of HCF, costly transportation, lack of proper roads, potential damage to roads/bridges/bldgs","Water tank BUT lacks water - people accessing dirty water, untreated water access",Solar energy + generator backup,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles buried onsite, septic tank system, general waste burnt onsite",,"STIs, excessive Kava drinking and smoking, alcohol consumption 2% employed, 90% kava and dalo farmers, 70% in school, 2 blind amputees, 1 completely disabled - stroke, 4 mentally challenged, mostly farmers as a source of employment",Fiji
Levuka Health Centre,,-17.68,178.83,Lomaiviti,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,High,Low,Low,Low,Average,Average,Average,Average,Average,"Lack and distance of HCF - costly transportation from other villages in the island to reach the NS, lack fo proper roads",WAF + water tank,EEL + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles sent to Levuka Hospital, burn and bury general waste, septic tank system",High,"Teenage pregnancies, SAM/MAM death in 2019, sex assault cases, alcohol consumption, 90% Kava and dalo farmers, employment 70% PAFCO, 30% civil service",Fiji
Levuka Subdivisional Hospital,,-17.68,178.83,Lomaiviti,Medium to High Vulnerability,2.00,AC3,30,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Lack and distance of HCF, costly transportation, lack of proper roads, potential damage to buildings/roads/bridges, leakage inside the NS during rainfall, heavy rainfall affects the bridges and access to the NS",WAF Supply + rain water tank,EEL main + generator back up,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles sent to Levuka Hospital, burn and bury general waste, septic tank system",High,"Teenage pregnancies, SAM/MAM, sex assault cases, 90% water supply is an issue, lack of safe water for drinking and sanitation, employment 70% PAFCO, 30% civil service",Fiji
Nawaikama Nursing Station - Gau Island,,-18.02,179.27,Lomaiviti,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Lack and distance of HCF, costly transportation",Water tank + rain water tank,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles to Levuka Hospital, burn and bury general waste, septic tank system",High,"Smoking, excessive kava drinking, 90% water supply is an issue, lack of safe water for drinking and cooking and hygiene practices, 100% farmers",Fiji
Qarani Health Centre - Gau Island,,-17.95,179.27,Lomaiviti,Medium to High Vulnerability,2.00,AC3,N/A,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Low,Low,Low,Average,Average,Average,Average,Average,Average,"Lack and distance of HCF, costly transportation","Water tank + rain water tank. Water source dried up, more back up water tanks needed.",Generator + solar,"Outdoor activities, lack of shadow, lack of indoor cooling facility","Sharps and needles to Levuka Hospital, burn and bury general waste, septic tank system",High,"Smoking, excessive kava drinking, 90% water supply is an issue",Fiji
Rotuma Hospital (RIC bldg.),,-12.50,177.05,Rotuma,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,High,Average,Average,Average,Average,Average,Average,Average,Average,"Lack of proper roads, transportation costs high (no bus services), lack of distance, potential damage to road/bridge, potential damage to building",WAF Supply,HCF Generator only + backup solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burned in Lopta Farm road, sharps and needles have a special concrete capsule for disposal",High,"School dropouts for children 6-19, education and livlehood for 20-29, health accessibility to HCF for SOPD for elderly 60 +, also subjected to elderly DV and negligence, mostly farming and fishing communities, teenage pregnancies, suki smoking, alcohol consumption, GBV cases, social welfare for the elderly, lack of safe water for drinking and sanitation, Courage farming and Kava plantation.",Fiji
Rotuma Health Centre (RIC bldg.),,-12.50,177.05,Rotuma,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,High,Average,Average,Average,Average,Average,Average,Average,Average,"Lack of proper roads, transportation costs high (no bus services), potential damage to road/bridge, potential damage to building","WAF Supply only at times, then lack of safe water for drinking and sanitation becomes and issue.",HCF Generator - government station: generator power supply + backup solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burned in Lopta Farm road, sharps and needles have a special concrete capsule for disposal.",High,"School dropouts for children 6-19, education and livlehood for 20-29, health accessibility to HCF for SOPD for elderly 60 +, also subjected to elderly DV and negligence, mostly farming and fishing communities, teenage pregnancies, suki smoking, alcohol consumption, GBV cases, social welfare for the elderly, lack of safe water for drinking and sanitation, Courage farming and Kava plantation.",Fiji
Tawake Nursing Station,,-16.26,179.86,Cakaudrove,High Vulnerability,3.00,AC2,N/A,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Average,Average,Average,Average,Average,Average,Average,Average,Average,"No roads, geographically mountainous place, accessing the HCF, by boat for many coastal communities and also downhill by other inland communities. Road is not safe during rainy weather",Water tank supply,Solar,"Lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Labasa hospital, septic tank system (toilet at the station tends to be leaking at times)",High,"Major social constraint is the access to road to access the health facility. The only means of transportation is by boat. With the rise in cost of living and fuel prices, its not easy for the villagers to present themselves to the health facility when there's a need. Most of the time they will wait until the last minute then they make their way to the nursing station as they don't want to make unnecessary trips, until it is direly needed",Fiji
Natewa Health Centre,,-16.59,179.74,Cakaudrove,High Vulnerability,3.00,AC2,N/A,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Low,Low,Low,Low,Low,Low,Low,Low,Low,Distance of HCF,"Water tank - spring source, same source as the Natewa village",Generator + solar,"Lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Savusavu hospital",N/A,N/A,Fiji
Saqani Health Centre,,-16.41,179.76,Cakaudrove,High Vulnerability,3.00,AC2,100,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Distance of HCF, accessing HCF, by boat for many coastal communities and also downhill by other inland communities. Road is not quite safe during rainy weather","Water tank - dam source to concrete water tank as resevoir, same source as Vuniwai village",Solar energy,"Lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Savusavu hospital",High,N/A,Fiji
Tukavesi Health Centre,,-16.64,179.84,Cakaudrove,High Vulnerability,3.00,AC2,N/A,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,Low,Low,Distance of HCF,Water tank,Solar energy supplied by village,"Lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Savusavu hospital",High,"Vax defaulters for 0-6 years, teenage pregnancies, dropouts, reproductive age group inaccessible to FP services due to dinancial constraints and also ANC cases",Fiji
Savusavu Hospital,,-16.77,179.35,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Distance of HCF, costly transportation 60%, lack of safe water for drinking and cooking and hygiene practices",Water tank,Generator + solar,"Outside activities, lack of shade, lack of indoor cooling facility","Need improvement, sharps and needles to Suva, respiratory illness including allergens",Present,"High rainfall can cause landslide, similar issues addressed at the Health Centre, mostly farmers (coconuts and kava) and fishermen, 100% in school, PLWD registered for dowms visits",Fiji
Savusavu Health Centre,,-16.77,179.35,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Low,Low,Low,Average,Average,Average,Average,Average,Average,The building needs to be relocated due to landslide. The patients and staffs,WAF supply,"EEL main only, no backup power source",Lack of indoor cooling facility,"Color coding, well managed",Present,This building has been affected by a landslide a few years back which has resulted in the building being shifted. Water borne diseases/vector borne disease -- below 25%. 0-5 yrs more than 25% - vax defaulters.,Fiji
Rabi HC,,-16.48,180.00,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Distance/lack of HCF, lack of proper roads, potential damage to roads/bridges/bldgs.",Water tank,Generator + solar,"Lack of shade, lack of indoor cooling facility","Need improvement, sharps and needles to Savusavu, onsite burning for general waste and other waste, respiratory illness including allergens if exposed",High,"5-10 % civil servants, 90% farmers and ",Fiji
Kioa NS – Kioa Island,,-16.67,179.90,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Average,Average,Average,Average,Average,Average,Average,Average,Average,"No proper roads to HCF, access through a wooden bridge, 100% accessing the HCF","Water tank, rainwater as water supply",Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, needles and sharps shipped to savusavu hospital, general waste onsite burning, respiratory illness including allergens",Present,"Mostly farmers and fishermen. 100% in primary and secondary school in Savusavu, Labasa. PLWD is recorded in the NS. Lack of safe water for drinking and sanitation",Fiji
Korotasere HC,,-16.57,179.56,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,High,Average,High,Average,Average,Average,Average,Average,Average,"Distance of HCF, lack of proper roads, transportation costs",Water tank,Generator + solar. Generator as back up and functioning well,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, general waste burnt onsite, sharps and needles to Savusavu Hospital, respiratory illness including allergens, injuries, all those that access the facility",,,Fiji
Nakorovatu HC,,-16.75,179.14,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Distance of HCF, lack of proper road, potential damage to road/bridge, transport cost too high, lack of safe water for drinking and sanitation",Water tank + water tanks are ready onsite to be installed as reserve tanks. Accessing rainwater and water from dam. Untreated,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Satisfactory but could be better, sharps and needles to Savusavu, general wastes onsite burning, respiratory illness including allergens, injuries, thost that reside in compound and accessing the clinic",Mosquitoes present,"6-14 child negligence, 15-19 teenage pregnancies, accessing clinics at a later stage of illness",Fiji
Naweni NS,,-16.79,179.58,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Similar to Bagasau NS catchment area - Farming communities, accessibility to HCF, lack of space for storage, needing space badly, drugs are boxed up and awaiting storage space",Water tank + reserve water tanks for NS - only 2 tanks,"Solar energy + No light for the past week, need it fixed by MOHMS","Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Savusavu, both lack of safe water but now rectified for staffs that are living in the compoud",High population,"3 mental cases, disability 18",Fiji
Navakaka NS,,-16.72,179.47,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,High,Average,Average,Average,High,Average,High,Average,Average,"Lack and distance of HCF, lack of proper roads, transportation costs, lack of safe water for drinking and cooking etc, sign board flown away by TC Yasa and hasn't been restored yet. NQ roofing leakage and also roofign",Water tank + spring water source in the water tank for NS. Only 2 water tanks,Solar energy + no backup generator,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, general waste burnt onsite, sharps and needles to Savusavu Hospital, respiratory illness including allergens, injuries, all those that access the facility",Present,"Vax defaulters, teenage pregnancies, farming communities, 17 partial - physically challenged, 5 bedridden, 12 cases of MR",Fiji
Bagasau NS,,-16.71,179.72,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,High,High,Average,Average,Low,Average,High,Average,Average,"Transportation costs, distance of NS, above 80% are affected, lack of safe water for drinking and cooking",Water tank,Solar energy,"Outdoor activities, lack of shade, lack of indoor cooling","General waste burnt onsite, sharps and needles to Savusavu Hospital, respiratory illness including allergens, injuries, those that access the NS",Present,"Vax defaulters for children, teenage pregnancies, mostly copra and yaqona farmers 70%",Fiji
Nabalebale NS,,-16.66,179.26,Cakaudrove,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,High,High,High,Average,Average,High,High,Average,Average,"Lack of distance of HCF, lack of proper roads, potential damage to road and bridge access, lack of safe water for drinking and sanitation",Water tank + spring water source for NS,Solar energy,"Lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Savusavu Hospital, respiratory illness including allergens, injuries, those that access the NS",Present,"Vax defaulters, child abuse case, DV by young couples, teenage pregnancies, copra and yaqona farmers, mental health challenged (18)",Fiji
Waiyevo Hospital,,-16.80,180.00,Taveuni,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,High,Average,Average,High,High,Average,Average,Average,Average,"The facility is up the hill, long walk, but accessible by vehicles and well tar sealed roads",WAF supply,Generator + EEL,"Outdoor activities, lack of shade, lack of indoor cooling facility","Open pit dumping, sharps and needles disposed there. Respiratory illness including allergens, injuries if access to the open pit dumping",Present,"Mostly farming and those that work in the hospital, teachers, shops, and govt stations staff. PLWD are recorded and registered. A bit of improvement needed. Overall, Hospital is neat and tidy but a bit of renovations and touch up around the facility. Guttering to be improved and repaired",Fiji
Waiyevo HC,,-16.80,180.00,Taveuni,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,High,Average,Average,Average,Average,Average,Average,Average,Average,Just a long walk up to the hospital,WAF supply,Generator + EEL,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, respitatory illness including allergens",Present,"Farming communities 80%, PLWD - registered and recorded",Fiji
Vuna HC,,-16.95,179.91,Taveuni,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Lack  of distance/health facility, lack of proper roads, potential damage to roads/bridges/bldgs","Water tank, water in the tank is rainwater","EEL main only, Generator as back up...working","Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, incineratory onsite - but damaged. Need a new one. Respiratory illness including allergens",Present,"Youths - substance abuse, common elderly negligence and children negligence, farming and fishing communities 100%, 6 mental cases, physically disabled are also registered under the clinic, 6 mental cases, Physically disabled are also registered under the clinic, 1.5% approx, 100% Lack of safe water for drinking and cooking and hygiene practices, 80% Renovations needed for the whole bldg, General painting and repairs before any further damages",Fiji
Bouma NS,,-16.82,180.13,Taveuni,Medium to High Vulnerability,2.00,AC3,200,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Lack of proper roads, transportation costs, distance too far (100% are affected)",Water tank + sharing same water supply as the village which comes from dam,Solar energy no backup power supply,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, onsite burning and bury, respiratory illness including allergens, all those that access the HCF",Present,"0-5 Vax defaulters, 15-19 substance abuse, DV, mental health negligence,  Elderly negligence,  Children negligence, 100% farming, farming away from village because of Natures Reserves. Mostly farming in Lagilevu,15 mental challenged & 5 completely disabled"" (1.5% of pop), Lack of safe water for drinking and cooking and hygiene practices",Fiji
Vuna NS,,-16.97,179.90,Taveuni,Medium to High Vulnerability,2.00,AC3,N/A,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,High,Average,Low,Average,Average,Average,Average,Average,Average,"Lack of proper roads, distance of HCF, potential damage to road/bridges/bldgs",Water tank + rainwater in the water tanks as supply to the HCF,"Solar energy, no backup power","Outdoor activities, lack of shade, lack of indoor cooling facility","Burn and bury onsite, respiratory illness including allergens, all those that access the facility",Present,"Similar risks and related issues recorded at Vuna Health Centre, Farming mostly-- 70% in school, Yes PLWD are Recorded/registered at the NS, Lack of safe water for drinking and cooking and hygiene practices, Much improvement needed, Need a full renovation and improvement to the facility, Rusty hurricane shutters",Fiji
Yacata NS,,-17.26,180.49,Taveuni,High Vulnerability,3.00,AC2,50,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Low,Average,Low,Average,Average,Average,Average,Average,Average,"Lack of proper roads, distance of HCF, potential damage to road/bridges/bldgs",Rainwater in the water tanks - water source. Water supply has been a continuous issue,Solar + no backup power,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles shipped to Taveuni Hospital, septic tank system, general waste burnt onsite",N/A,"Excessive Kava drinking for 18+,  mostly farmers as a source of employment, lack of safe water for drinking and sanitation, registered dorm visits, 6 HH sharing toilets",Fiji
Qamea HC,,-16.80,180.25,Taveuni,High Vulnerability,3.00,AC2,N/A,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low,Low,Low,Low,Average,Average,Average,Average,"Lack of proper roads, distance of HCF, potential damage to road/bridges/bldgs",Rainwater in the water tanks - water source. Water supply has been a continuous issue,Solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles shipped to Taveuni Hospital, septic tank system, general waste burnt onsite",N/A,Talks on Relocation of the permanent NS to a permanent location is underway,Fiji
Nabouwalu Hospital,,-17.00,178.69,Bua,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,High,High,High,High,High,High,High,High,High,"Distance of HCF, lack of proper roads (70%), yes accessing safe water","WAF supply available, need water filter for the hospital","Generator + EEL, MOIT main power supply, generator backup","Outdoor activities, lack of shade, lack of indoor cooling facility","Incinerated infectious wastes, buried vials, general waste is burnt, respiratory illness including allergens, injuries All those that access the Hospital",Present,"Teenage pregnancies, Vax defaulters, High risk of DV unreported, NCD population on defaulters-communal living, Farming and fishing communities 80%, Yes, people living with disabilities are registered in all HCFs under the subdivision",Fiji
Nabouwalu HC,,-17.00,178.69,Bua,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,High,High,High,High,High,High,High,High,High,"Lack of proper roads, transportation costs, more than 80%","WAF supply, need water filter for the HC and Hospital","Generator + EEL, MOIT main power supply, generator backup","Outdoor activities, lack of shade, lack of indoor cooling facility","Burnt onsite, respitatory illness including allergens, injuries, 60% those that access the facility",Mosquitoes present,"Similar issues and cases with other medical areas, 90% are farmers, Yes, PLWD are registered in the HC, Lack of safe water for drinking and cooking",Fiji
Lekutu HC,,-16.69,178.71,Bua,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Distance of HCF, transportation costs, more than 80%, lack of safe water for drinking and sanitation",Water tank,"EEL main only, solar energy, generator as back up","Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, sharps and needles to Nabouwalu, the rest is either burnt and bury, respiratory illnes including allergens, all those that access the facility",Mosquitoes present,"Similar to other medical areas, mostly farming communities""-- 70% are farmers, Yes, people living with disabilities are registered",Fiji
Wainunu HC,,-16.86,178.88,Bua,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Lack and distance or proper roads, transportation costs 80% and above",WAF Supply,Solar energy but network doens't work there,"Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, infectious waste to Nabouwalu, sharps and needles. Other burnt onsite. Respiratory illness including allergens, injuries",Mosquitoes present,"Similar to other medical areas, mostly farming communities""-- 60% are farmers, Yes, people living with disabilities are registered 6 in total. Lack of safe water for drinking and sanitation",Fiji
Bua NS,,-16.79,178.61,Bua,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Average,High,High,Average,Average,Average,High,Average,Average,"Well renovated, distance of HCF, lack of proper road, transportation costs",Water tank,EEL + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles to Nabouwalu Hospital. General wastes burnt onsite, Respiratory illness including allergens, Injuries 60% and those that access the facility",Present,"Similar to other medical areas, mostly farming communities""-- 70% are farmers, registered PLWD under the NS, lack of safe water for drinking and sanitation",Fiji
Kubulau NS,,-16.92,179.01,Bua,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Rugged road, transportation costs very high, 60$ on hire, rise in fare for buses, transportation for staffs to conduct work",Water tank,"Solar energy, 8 panels by WORLD BANK POWERING PRINTERS, MHMS solar lights only","Outdoor activities, lack of shade, lack of indoor cooling facility",Sharps and needles to Nabouwalu Hospital. General wastes burnt onsite,Mosquitoes present,"WATER SEEPAGE AND WET WHETHER...AFFECTED BY NUMEROUS EARTHQUAKES.CLINIC AREA FLOOR, Low vax coverage- High defaulters (fridge damaged), Financial constraints - high transportation costs"" Farming communities 100%, Mentally challenged 1, Total of 19 - People living with Disability, Lack of water...water tank empty at both QUARTERS and clinic has 1 reserve 3000Litres tanks.",Fiji
Navakasiga NS,,-16.67,178.58,Bua,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,High,Low,Low,Average,Average,Average,Average,Low,Low,"Distance of HCF, lack of proper roads, transportation costs very high, network problem",Water tank,Solar + backup generator,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Nabouwalu Hospital, respiratory illness including allergens, injuries to all those that access the facility",Present,"Similar issues with other medical areas, Farming and fishing communities- Above 70%, 19 registered altogether - People living with disability, Lack of safe water for drinking, cooking, hygiene practices, Much needed improvement for sanitation, High in diarrheal cases during communal gatherings, High number of asthma cases during cold seasons, Lack of renovations, as renovations was done before 2016. Guttering not fixed. Both water tanks empty.""",Fiji
Yadua NS,,-16.81,178.32,Bua,High Vulnerability,3.00,AC2,N/A,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Low,Average,Average,Average,Average,Average,Average,Average,Average,"Lack of distance of HCF, lack of proper roads, potential damage to roads/bridges/bldgs",Rainwater in the water tanks + water supply continuous issue,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles shipped to Taveuni Hospital, septic tank system, general waste burnt onsite",Present,"Excessive Kava drinking for 18+, Mostly farmers as a source of employment, Lack of safe water for drinking and cooking and hygiene practices, Registered - dorms visits",Fiji
Labasa Divisional Hospital,,-16.43,179.38,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,High,High,High,High,High,High,High,High,High,"Transportation OK. Only during flooding, difficult to reach the hospital.",WAF + water tank,Generator + EEL,"Outdoor activities, lack of shade",Well looked after and catered,Rodents high,"SOCIO-ECONOMIC ISSUES, MALNUTRITION AND DIARRHEA ANZ SEVERE PNEUMONIA at 8 months. Dengue like symptoms, A lot of referrals from peripherals, 50% farmers, 4 subdivisions clinical waste are disposed here at LABASA HOSPITAL, On a hill, but surrounded by the hill, 559 dengue cases from January to June 2022 whole of VL, high amount of dengue in Feb, March April - rainy months 100+ cases, Data from 2014 of dengue cased. Interesting case to see, Increase over the years...escalating over the years.""",Fiji
